name,gridid,tagLine,descriptionShort,sector,status_name,product_type,has_main_product,logo_url,Twitter handle,Twitter URL
Hivemapper,106,The World’s Freshest Map Data,Hivemapper is a decentralized mapping network that uses blockchain to reward contributors.,Data & Analytics,Active,DePin,Yes,https://img.thegrid.id/upload/f631b911687d0ede5c3ca753d01bf22d3852f6869e599be0e781e5f09ce63ce1.svg,@Hivemapper,https://x.com/Hivemapper
Grass,110,Earn A Stake In The AI Revolution. Get paid for your unused internet.,"Grass enables users to monetize unused internet bandwidth by sharing it with AI companies, earning rewards through a peer-to-peer network.",Data & Analytics,Active,Data,Yes,https://img.thegrid.id/upload/375c44306da5a2f70bef253c2fe41b28bf91cbe4b46ee0b201305620255e5502.svg,@getgrass_io,https://twitter.com/getgrass_io
Vybe Network,127,The leading API & analytics platform on Solana,"The Vybe API offers high-performance, specialized endpoints for DeFi, AI, and trading on Solana, enabling efficient project integration and access to comprehensive data.",Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/upload/452a42e7640c982f43ffc0dfeb2d36751ef5d5d031e546df1a73c4d88888c550.svg,@Vybe_Network,https://twitter.com/Vybe_Network
SolanaFM,130,A friendly Solana explorer.,Solana.FM is a comprehensive explorer and analytics platform for the Solana blockchain.,Data & Analytics,Acquired,Block Explorer,Yes,https://img.thegrid.id/upload/cca9fb25c057cd52d3ca0bb694e88e46c33c122fde829102d90b713217c9c7d9.svg,@solanafm,https://x.com/solanafm
Solana Beach,131,Explore the Solana blockchain,Solana Beach is a network and block explorer for the Solana blockchain.,Data & Analytics,Active,Block Explorer,Yes,https://img.thegrid.id/upload/bde5fe416bd13c468f8e362c21601505fce0e88e9c0d44653f68c1323409c9a2.svg,@solanabeach_io,https://twitter.com/solanabeach_io
Birdeye,162,An on-chain crypto trading data aggregator.,Birdeye is a blockchain analytics platform that provides data insights for crypto projects and protocols.,Data & Analytics,Active,Trading Terminal,Yes,https://img.thegrid.id/upload/b499c3ed7ea75b6cff1a96aed1a0fe1391bd3bdce805730585eca17cfb98c2b7.svg,@birdeye_so,https://twitter.com/birdeye_so
Hello Moon,164,Infrastructure to build the future of Solana,On-chain Solana NFT & DeFi Insights,Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/upload/b39a40bcbafa771560623db4b4565cb7c5f4bb14c10c7b5e6861be92d0f47a4f.svg,@HelloMoon_io,https://twitter.com/HelloMoon_io
Step Finance,165,The Front Page of Solana,"Step Finance is a Solana-based platform offering portfolio tracking, DeFi analytics, and on-chain actions. It includes NFT insights, DAO, and ecosystem data tools.",Data & Analytics,Active,Trading Terminal,Yes,https://img.thegrid.id/upload/67894b33c5f9b271c6619ddbd8f4f51c0e346f30ee06ee29de881450231540de.svg,@StepFinance_,https://twitter.com/StepFinance_
SonarWatch,924,"Empowering your journey on Web3 with a powerful tracking tool, multichain and open-source.",Sonarwatch is a multichain dashboard for DeFi tracking and analytics.,Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/upload/64d11fc87029503619a5d1d29f09fb1d846bd93fe35bfa4022ab0f99414a202c.svg,@Sonarwatch,https://twitter.com/Sonarwatch
Pyth Network,935,Smarter Data for Smarter Contracts,Pyth Network is a decentralized oracle that provides financial market data to blockchain applications.,Data & Analytics,Active,Oracle,Yes,https://img.thegrid.id/upload/510979b1e8232f0e1e707ed515c3abaf6db5ac2d5c5c325ea935612ce8dfe9b1.svg,@PythNetwork,https://x.com/PythNetwork
Chainalysis,1001,"Building trust in blockchains among people, businesses, and governments. ","Chainalysis is a blockchain analysis company that provides data, software, and services to investigate and prevent cryptocurrency-related fraud and money laundering.",Data & Analytics,Active,Onchain Compliance and investigations,Yes,https://img.thegrid.id/harvest/ed250e855f811d666c5fe7476cdadca3063ef6b9f9aa7aaad5123aaebbea317c.png,@Chainalysis,https://twitter.com/chainalysis
The Grid,1007,"Powering Discoverability of Assets, Products, and Services in Web3",The Grid is a data company that provides structured information about web3 projects to be used by other data companies. ,Data & Analytics,Active,Data,Yes,https://img.thegrid.id/upload/14e32a7f199cd38e02cdfb159e8359c723bbbe21cf13a8edd8987f75655240c7.svg,@TheGridData,https://x.com/TheGridData
Goldsky,1039,"Crypto data, live-streamed",Goldsky helps developers access and process blockchain data in real time through streaming infrastructure and customizable endpoints.,Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/harvest/59ae9c3a628de633ca78d8fab9dc7e0d553089e2ccb9c2f5e5855bc3000787ee.svg,@goldskyio,https://x.com/goldskyio
Cielo,1042,Discover the next big thing before it’s a big thing.,Discover the next big thing before it’s a big thing.,Data & Analytics,Active,Trading Terminal,Yes,https://img.thegrid.id/upload/1e893eb6e5d41b44ab49d8b6b70309bc862c4d915a07a3403e4b34311799e945.svg,@CieloFinance,https://x.com/CieloFinance
Reclaim Protocol,1216,Import user data from any website,A protocol for creating tamper-proof digital signatures of users' identity and reputation from any website.,Data & Analytics,Active,Decentralised Identity,Yes,https://img.thegrid.id/upload/a3eaa121a6523a11ae133922af98d3574a686c7dc28a20d13685d0fdb818194c.svg,@reclaimprotocol,https://twitter.com/reclaimprotocol
